Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
MARI,625.0,"2024, 2023, 2022, 2021, 2020","1, 2, 1, 4, 2",Yes,2024: 12.80% | 2023: 24.96% | 2022: 14.24% | 2021: 41.44% | 2020: 1.28%,2024: Rs.80.00 | 2023: Rs.156.00 | 2022: Rs.89.00 | 2021: Rs.259.00 | 2020: Rs.8.00,100.0%,Perfect consistency: 5 consecutive years,Rs.10.92,1.75%,Growth trend
OGDC,265.99,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 1.13% | 2024: 4.91% | 2023: 3.25% | 2022: 0.85%,2025: Rs.3.00 | 2024: Rs.13.05 | 2023: Rs.8.65 | 2022: Rs.2.25,100.0%,Perfect consistency: 3 consecutive years,Rs.1.04,0.39%,Growth trend
POL,644.2,"2024, 2023, 2022, 2021, 2020, 2019","1, 2, 2, 2, 2, 1",Yes,2024: 3.88% | 2023: 13.19% | 2022: 10.87% | 2021: 7.76% | 2020: 7.76% | 2019: 3.10%,2024: Rs.25.00 | 2023: Rs.85.00 | 2022: Rs.70.00 | 2021: Rs.50.00 | 2020: Rs.50.00 | 2019: Rs.20.00,100.0%,Perfect consistency: 6 consecutive years,Rs.25.35,3.94%,Growth trend
PPL,182.63,"2025, 2024, 2023, 2022, 2021","1, 4, 2, 2, 1",Yes,2025: 0.55% | 2024: 4.11% | 2023: 2.19% | 2022: 0.82% | 2021: 0.82%,2025: Rs.1.00 | 2024: Rs.7.50 | 2023: Rs.4.00 | 2022: Rs.1.50 | 2021: Rs.1.50,100.0%,Perfect consistency: 4 consecutive years,Rs.0.95,0.52%,Growth trend
