Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
BATA,1713.0,"2024, 2023, 2022, 2021, 2019, 2018, 2017","1, 1, 1, 1, 2, 2, 2",Yes,2024: 7.59% | 2023: 7.01% | 2022: 10.51% | 2021: 5.84% | 2019: 8.76% | 2018: 8.76% | 2017: 8.17%,2024: Rs.130.00 | 2023: Rs.120.00 | 2022: Rs.180.00 | 2021: Rs.100.00 | 2019: Rs.150.00 | 2018: Rs.150.00 | 2017: Rs.140.00,100.0%,Minor gap detected but overall consistent: 7 years with dividends,Rs.149.61,8.73%,Growth trend
SGF,76.5,"2024, 2023, 2022, 2021","1, 2, 2, 1",Yes,2024: 5.23% | 2023: 6.54% | 2022: 4.58% | 2021: 2.61%,2024: Rs.4.00 | 2023: Rs.5.00 | 2022: Rs.3.50 | 2021: Rs.2.00,100.0%,Perfect consistency: 4 consecutive years,Rs.1.68,2.20%,Growth trend
SRVI,1149.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 1, 1, 1, 3, 1, 1",Yes,2024: 1.31% | 2023: 0.87% | 2022: 0.44% | 2021: 0.65% | 2020: 1.31% | 2019: 1.96% | 2018: 2.61% | 2017: 1.91%,2024: Rs.15.00 | 2023: Rs.10.00 | 2022: Rs.5.00 | 2021: Rs.7.50 | 2020: Rs.15.00 | 2019: Rs.22.50 | 2018: Rs.30.00 | 2017: Rs.22.00,100.0%,Perfect consistency: 8 consecutive years,Rs.25.88,2.25%,Growth trend
