Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
APL,539.5,"2024, 2023, 2022, 2021, 2020, 2019","1, 2, 2, 2, 2, 1",Yes,2024: 2.32% | 2023: 4.63% | 2022: 7.88% | 2021: 7.32% | 2020: 1.20% | 2019: 0.93%,2024: Rs.12.50 | 2023: Rs.25.00 | 2022: Rs.42.50 | 2021: Rs.39.50 | 2020: Rs.6.50 | 2019: Rs.5.00,100.0%,Perfect consistency: 6 consecutive years,Rs.5.56,1.03%,Growth trend
PSO,417.85,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 1, 1, 1, 2, 2, 1",Yes,2024: 2.39% | 2023: 1.79% | 2022: 2.39% | 2021: 2.39% | 2020: 1.20% | 2019: 2.39% | 2018: 3.59% | 2017: 3.59%,2024: Rs.10.00 | 2023: Rs.7.50 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2020: Rs.5.00 | 2019: Rs.10.00 | 2018: Rs.15.00 | 2017: Rs.15.00,100.0%,Perfect consistency: 8 consecutive years,Rs.17.32,4.15%,Growth trend
SNGP,121.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 1, 1, 3, 1, 1, 2",Yes,2024: 6.20% | 2023: 3.72% | 2022: 1.24% | 2021: 7.85% | 2020: 3.31% | 2019: 1.65% | 2018: 5.83%,2024: Rs.7.50 | 2023: Rs.4.50 | 2022: Rs.1.50 | 2021: Rs.9.50 | 2020: Rs.4.00 | 2019: Rs.2.00 | 2018: Rs.7.05,100.0%,Perfect consistency: 7 consecutive years,Rs.13.76,11.37%,Growth trend
