Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
BRRG,31.02,"2024, 2023","1, 1",Yes,2024: 1.61% | 2023: 1.61%,2024: Rs.0.50 | 2023: Rs.0.50,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year",Rs.0.50,1.61%,Average of last 2 years
JVDC,74.5,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2014, 2012, 2009","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 5.37% | 2023: 8.05% | 2022: 0.00% | 2021: 2.68% | 2019: 1.34% | 2018: 0.94% | 2017: 3.36% | 2014: 13.42% | 2012: 13.42% | 2009: 13.42%,2024: Rs.4.00 | 2023: Rs.6.00 | 2022: Rs.0.00 | 2021: Rs.2.00 | 2019: Rs.1.00 | 2018: Rs.0.70 | 2017: Rs.2.50 | 2014: Rs.10.00 | 2012: Rs.10.00 | 2009: Rs.10.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year",Rs.15.34,20.59%,Growth trend
