Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
ABOT,1144.0,"2024, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 2, 2, 1, 2, 1",Yes,2024: 0.87% | 2022: 1.31% | 2021: 3.50% | 2020: 3.50% | 2019: 0.66% | 2018: 1.75% | 2017: 2.62%,2024: Rs.10.00 | 2022: Rs.15.00 | 2021: Rs.40.00 | 2020: Rs.40.00 | 2019: Rs.7.50 | 2018: Rs.20.00 | 2017: Rs.30.00,100.0%,Minor gap detected but overall consistent: 7 years with dividends,Rs.47.60,4.16%,Growth trend
AGP,213.01,"2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 1, 1, 1, 2, 2, 1",Yes,2024: 1.88% | 2023: 1.17% | 2022: 0.94% | 2021: 1.17% | 2020: 0.94% | 2019: 1.53% | 2018: 0.59%,2024: Rs.4.00 | 2023: Rs.2.50 | 2022: Rs.2.00 | 2021: Rs.2.50 | 2020: Rs.2.00 | 2019: Rs.3.25 | 2018: Rs.1.25,100.0%,Perfect consistency: 7 consecutive years,Rs.1.14,0.54%,Growth trend
CPHL,84.99,"2024, 2023, 2021","1, 1, 1",Yes,2024: 3.82% | 2023: 2.94% | 2021: 1.76%,2024: Rs.3.25 | 2023: Rs.2.50 | 2021: Rs.1.50,100.0%,"Minor gap detected but overall consistent: 3 years with dividends, Pattern: 1 dividends per year",Rs.1.03,1.21%,Growth trend
FEROZ,431.9,"2024, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 2, 1, 2",Yes,2024: 0.69% | 2022: 0.46% | 2021: 2.32% | 2020: 0.93% | 2019: 0.93% | 2018: 0.93% | 2017: 0.93% | 2016: 3.47%,2024: Rs.3.00 | 2022: Rs.2.00 | 2021: Rs.10.00 | 2020: Rs.4.00 | 2019: Rs.4.00 | 2018: Rs.4.00 | 2017: Rs.4.00 | 2016: Rs.15.00,100.0%,Minor gap detected but overall consistent: 8 years with dividends,Rs.27.46,6.36%,Growth trend
HINOON,1157.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 3.46% | 2023: 2.72% | 2022: 1.73% | 2021: 1.73% | 2020: 1.30% | 2019: 1.12% | 2018: 1.12% | 2017: 0.86% | 2016: 0.73%,2024: Rs.40.00 | 2023: Rs.31.50 | 2022: Rs.20.00 | 2021: Rs.20.00 | 2020: Rs.15.00 | 2019: Rs.13.00 | 2018: Rs.13.00 | 2017: Rs.10.00 | 2016: Rs.8.50,100.0%,Perfect consistency: 9 consecutive years,Rs.7.07,0.61%,Growth trend
HPL,2990.0,"2024, 2023","2, 1",Yes,2024: 4.52% | 2023: 1.00%,2024: Rs.135.00 | 2023: Rs.30.00,100.0%,Perfect consistency: 2 consecutive years,Rs.82.50,2.76%,Average of last 2 years
MACTER,383.0,"2025, 2024, 2023, 2022, 2021, 2020","1, 2, 1, 2, 3, 1",Yes,2025: 0.47% | 2024: 0.26% | 2023: 0.14% | 2022: 0.53% | 2021: 1.41% | 2020: 0.50%,2025: Rs.1.80 | 2024: Rs.1.00 | 2023: Rs.0.54 | 2022: Rs.2.04 | 2021: Rs.5.41 | 2020: Rs.1.90,100.0%,Perfect consistency: 5 consecutive years,Rs.3.48,0.91%,Growth trend
