Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
AABS,1110.0,"2025, 2024, 2023, 2022","2, 3, 4, 1",Yes,2025: 3.33% | 2024: 4.50% | 2023: 5.05% | 2022: 2.70%,2025: Rs.37.00 | 2024: Rs.50.00 | 2023: Rs.56.00 | 2022: Rs.30.00,100.0%,Perfect consistency: 3 consecutive years,Rs.24.84,2.24%,Growth trend
ADAMS,70.0,"2024, 2023, 2022, 2021, 2020, 2016, 2013, 2012, 2011","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.14% | 2023: 7.14% | 2022: 3.57% | 2021: 2.86% | 2020: 5.71% | 2016: 5.00% | 2013: 3.57% | 2012: 3.57% | 2011: 3.57%,2024: Rs.1.50 | 2023: Rs.5.00 | 2022: Rs.2.50 | 2021: Rs.2.00 | 2020: Rs.4.00 | 2016: Rs.3.50 | 2013: Rs.2.50 | 2012: Rs.2.50 | 2011: Rs.2.50,100.0%,High consistency (100.0%): 9 years with dividends,Rs.3.19,4.56%,Growth trend
FRSM,45.0,"2024, 2023, 2019, 2018, 2016, 2015, 2014, 2013","2, 1, 1, 1, 1, 2, 1, 1",Yes,2024: 25.78% | 2023: 5.56% | 2019: 2.22% | 2018: 8.33% | 2016: 11.11% | 2015: 15.00% | 2014: 2.22% | 2013: 1.67%,2024: Rs.11.60 | 2023: Rs.2.50 | 2019: Rs.1.00 | 2018: Rs.3.75 | 2016: Rs.5.00 | 2015: Rs.6.75 | 2014: Rs.1.00 | 2013: Rs.0.75,100.0%,High consistency (100.0%): 8 years with dividends,Rs.0.85,1.89%,Growth trend
HABSM,82.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 14.63% | 2023: 14.63% | 2022: 8.54% | 2021: 7.32% | 2020: 6.71% | 2019: 6.71% | 2018: 6.71% | 2017: 4.27% | 2016: 6.71% | 2015: 6.10%,2024: Rs.12.00 | 2023: Rs.12.00 | 2022: Rs.7.00 | 2021: Rs.6.00 | 2020: Rs.5.50 | 2019: Rs.5.50 | 2018: Rs.5.50 | 2017: Rs.3.50 | 2016: Rs.5.50 | 2015: Rs.5.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.4.71,5.74%,Growth trend
JDWS,940.2,"2025, 2024, 2023, 2022, 2021","1, 2, 3, 3, 1",Yes,2025: 2.13% | 2024: 5.32% | 2023: 4.25% | 2022: 2.92% | 2021: 1.06%,2025: Rs.20.00 | 2024: Rs.50.00 | 2023: Rs.40.00 | 2022: Rs.27.50 | 2021: Rs.10.00,100.0%,Perfect consistency: 4 consecutive years,Rs.6.17,0.66%,Growth trend
MRNS,70.0,"2025, 2023, 2022, 2021","2, 4, 2, 2",Yes,2025: 3.57% | 2023: 12.14% | 2022: 3.57% | 2021: 2.50%,2025: Rs.2.50 | 2023: Rs.8.50 | 2022: Rs.2.50 | 2021: Rs.1.75,100.0%,Perfect consistency: 3 consecutive years,Rs.0.87,1.24%,Growth trend
SHSML,430.0,"2025, 2023, 2022, 2021, 2020, 2019, 2018","1, 3, 2, 1, 1, 1, 1",Yes,2025: 1.63% | 2023: 11.63% | 2022: 4.65% | 2021: 0.70% | 2020: 2.79% | 2019: 3.95% | 2018: 1.63%,2025: Rs.7.00 | 2023: Rs.50.00 | 2022: Rs.20.00 | 2021: Rs.3.00 | 2020: Rs.12.00 | 2019: Rs.17.00 | 2018: Rs.7.00,100.0%,Perfect consistency: 6 consecutive years,Rs.8.93,2.08%,Growth trend
