Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
AWTX,1409.56,"2024, 2022, 2021, 2018, 2014, 2013, 2012, 2011, 2010, 2007","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.18% | 2022: 0.51% | 2021: 2.50% | 2018: 0.27% | 2014: 0.73% | 2013: 1.44% | 2012: 0.73% | 2011: 0.73% | 2010: 0.51% | 2007: 0.09%,2024: Rs.2.50 | 2022: Rs.7.25 | 2021: Rs.35.25 | 2018: Rs.3.75 | 2014: Rs.10.25 | 2013: Rs.20.25 | 2012: Rs.10.25 | 2011: Rs.10.25 | 2010: Rs.7.25 | 2007: Rs.1.25,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year",Rs.2.08,0.15%,Growth trend
ELSM,117.17,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2024: 4.27% | 2023: 5.12% | 2022: 8.53% | 2021: 8.53% | 2019: 5.12% | 2018: 5.12% | 2017: 2.99% | 2016: 2.99% | 2015: 2.99%,2024: Rs.5.00 | 2023: Rs.6.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2019: Rs.6.00 | 2018: Rs.6.00 | 2017: Rs.3.50 | 2016: Rs.3.50 | 2015: Rs.3.50,100.0%,Minor gap detected but overall consistent: 9 years with dividends,Rs.3.52,3.01%,Growth trend
NAGC,73.0,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2024: 2.05% | 2023: 8.22% | 2022: 13.70% | 2021: 13.70% | 2019: 6.85% | 2018: 5.48% | 2017: 4.11% | 2016: 1.37% | 2015: 4.79%,2024: Rs.1.50 | 2023: Rs.6.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2019: Rs.5.00 | 2018: Rs.4.00 | 2017: Rs.3.00 | 2016: Rs.1.00 | 2015: Rs.3.50,100.0%,Minor gap detected but overall consistent: 9 years with dividends,Rs.5.49,7.52%,Growth trend
RCML,510.0,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.78% | 2023: 0.78% | 2022: 1.47% | 2021: 0.98% | 2019: 1.57% | 2018: 1.27% | 2017: 0.29% | 2016: 0.98% | 2015: 0.98% | 2014: 0.29%,2024: Rs.4.00 | 2023: Rs.4.00 | 2022: Rs.7.50 | 2021: Rs.5.00 | 2019: Rs.8.00 | 2018: Rs.6.50 | 2017: Rs.1.50 | 2016: Rs.5.00 | 2015: Rs.5.00 | 2014: Rs.1.50,100.0%,"Minor gap detected but overall consistent: 10 years with dividends, Pattern: 1 dividends per year",Rs.1.80,0.35%,Growth trend
SHDT,58.5,"2024, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.28% | 2022: 0.85% | 2021: 1.71% | 2020: 0.85% | 2019: 8.89% | 2018: 2.82% | 2017: 4.33% | 2016: 7.48% | 2015: 5.81% | 2014: 1.71%,2024: Rs.0.75 | 2022: Rs.0.50 | 2021: Rs.1.00 | 2020: Rs.0.50 | 2019: Rs.5.20 | 2018: Rs.1.65 | 2017: Rs.2.54 | 2016: Rs.4.37 | 2015: Rs.3.40 | 2014: Rs.1.00,100.0%,"Minor gap detected but overall consistent: 10 years with dividends, Pattern: 1 dividends per year",Rs.2.02,3.46%,Growth trend
