Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
AIRLINK,137.99,"2024, 2023, 2022, 2021","2, 2, 1, 1",Yes,2024: 4.71% | 2023: 3.26% | 2022: 0.72% | 2021: 0.91%,2024: Rs.6.50 | 2023: Rs.4.50 | 2022: Rs.1.00 | 2021: Rs.1.25,100.0%,Perfect consistency: 4 consecutive years,Rs.0.90,0.65%,Growth trend
PAKD,216.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2024: 1.62% | 2023: 4.17% | 2022: 2.78% | 2021: 0.69% | 2020: 0.46% | 2019: 1.85% | 2018: 1.39% | 2017: 1.62% | 2016: 0.46%,2024: Rs.3.50 | 2023: Rs.9.00 | 2022: Rs.6.00 | 2021: Rs.1.50 | 2020: Rs.1.00 | 2019: Rs.4.00 | 2018: Rs.3.00 | 2017: Rs.3.50 | 2016: Rs.1.00,100.0%,Perfect consistency: 9 consecutive years,Rs.1.29,0.60%,Growth trend
SYM,14.15,"2024, 2023","1, 1",Yes,2024: 7.07% | 2023: 3.53%,2024: Rs.1.00 | 2023: Rs.0.50,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year",Rs.0.75,5.30%,Average of last 2 years
SYS,139.94,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 4.29% | 2023: 4.29% | 2022: 3.57% | 2021: 3.57% | 2020: 2.50% | 2019: 1.61% | 2018: 1.43% | 2017: 1.25% | 2016: 1.33% | 2015: 0.89%,2024: Rs.6.00 | 2023: Rs.6.00 | 2022: Rs.5.00 | 2021: Rs.5.00 | 2020: Rs.3.50 | 2019: Rs.2.25 | 2018: Rs.2.00 | 2017: Rs.1.75 | 2016: Rs.1.86 | 2015: Rs.1.25,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.1.07,0.76%,Growth trend
