Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
GHGL,43.5,"2024, 2023, 2022, 2021, 2020","1, 2, 1, 5, 1",Yes,2024: 2.30% | 2023: 6.69% | 2022: 2.30% | 2021: 25.29% | 2020: 14.94%,2024: Rs.1.00 | 2023: Rs.2.91 | 2022: Rs.1.00 | 2021: Rs.11.00 | 2020: Rs.6.50,100.0%,Perfect consistency: 5 consecutive years,Rs.24.12,55.45%,Growth trend
GVGL,67.0,"2025, 2024, 2023, 2022, 2021, 2019","1, 2, 2, 2, 2, 1",Yes,2025: 1.49% | 2024: 2.99% | 2023: 17.00% | 2022: 5.97% | 2021: 11.94% | 2019: 4.48%,2025: Rs.1.00 | 2024: Rs.2.00 | 2023: Rs.11.39 | 2022: Rs.4.00 | 2021: Rs.8.00 | 2019: Rs.3.00,100.0%,Minor gap detected but overall consistent: 5 years with dividends,Rs.6.32,9.43%,Growth trend
STCL,17.69,"2024, 2022, 2021, 2019, 2018, 2015, 2013, 2011, 2008","1, 1, 1, 1, 1, 2, 1, 1, 1",Yes,2024: 8.48% | 2022: 8.48% | 2021: 14.13% | 2019: 2.83% | 2018: 5.65% | 2015: 65.57% | 2013: 5.65% | 2011: 56.53% | 2008: 11.31%,2024: Rs.1.50 | 2022: Rs.1.50 | 2021: Rs.2.50 | 2019: Rs.0.50 | 2018: Rs.1.00 | 2015: Rs.11.60 | 2013: Rs.1.00 | 2011: Rs.10.00 | 2008: Rs.2.00,100.0%,High consistency (100.0%): 9 years with dividends,Rs.6.69,37.81%,Growth trend
TGL,245.0,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2025: 0.82% | 2024: 0.82% | 2023: 2.45% | 2022: 0.82% | 2021: 4.90% | 2020: 1.02% | 2019: 3.67% | 2018: 2.45% | 2017: 1.69%,2025: Rs.2.00 | 2024: Rs.2.00 | 2023: Rs.6.00 | 2022: Rs.2.00 | 2021: Rs.12.00 | 2020: Rs.2.50 | 2019: Rs.9.00 | 2018: Rs.6.00 | 2017: Rs.4.15,100.0%,Perfect consistency: 8 consecutive years,Rs.8.60,3.51%,Growth trend
