Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
ATLH,1225.0,"2024, 2023, 2022, 2021, 2020, 2019","1, 2, 1, 3, 1, 2",Yes,2024: 2.45% | 2023: 2.45% | 2022: 0.90% | 2021: 3.31% | 2020: 0.33% | 2019: 1.22%,2024: Rs.30.00 | 2023: Rs.30.00 | 2022: Rs.11.00 | 2021: Rs.40.50 | 2020: Rs.4.00 | 2019: Rs.15.00,100.0%,Perfect consistency: 6 consecutive years,Rs.26.69,2.18%,Growth trend
HCAR,291.2,"2025, 2024, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2025: 2.75% | 2024: 2.23% | 2022: 2.40% | 2021: 1.55% | 2020: 0.34% | 2019: 4.17% | 2018: 7.81% | 2017: 5.90% | 2016: 2.40%,2025: Rs.8.00 | 2024: Rs.6.50 | 2022: Rs.7.00 | 2021: Rs.4.52 | 2020: Rs.1.00 | 2019: Rs.12.15 | 2018: Rs.22.75 | 2017: Rs.17.18 | 2016: Rs.7.00,100.0%,Minor gap detected but overall consistent: 8 years with dividends,Rs.17.13,5.88%,Growth trend
INDU,2115.0,"2025, 2024, 2023, 2022","1, 3, 4, 2",Yes,2025: 2.36% | 2024: 5.20% | 2023: 4.31% | 2022: 0.87%,2025: Rs.50.00 | 2024: Rs.110.00 | 2023: Rs.91.10 | 2022: Rs.18.40,100.0%,Perfect consistency: 3 consecutive years,Rs.9.48,0.45%,Growth trend
MTL,569.99,"2024, 2023, 2022, 2021, 2020","1, 3, 3, 2, 1",Yes,2024: 7.89% | 2023: 7.89% | 2022: 5.61% | 2021: 16.67% | 2020: 8.77%,2024: Rs.45.00 | 2023: Rs.45.00 | 2022: Rs.32.00 | 2021: Rs.95.00 | 2020: Rs.50.00,100.0%,Perfect consistency: 5 consecutive years,Rs.65.08,11.42%,Growth trend
SAZEW,1442.0,"2025, 2024, 2023, 2021, 2020, 2019, 2017","1, 4, 1, 1, 1, 1, 1",Yes,2025: 0.83% | 2024: 2.77% | 2023: 0.28% | 2021: 0.21% | 2020: 0.21% | 2019: 0.46% | 2017: 0.14%,2025: Rs.12.00 | 2024: Rs.40.00 | 2023: Rs.4.00 | 2021: Rs.3.00 | 2020: Rs.3.00 | 2019: Rs.6.58 | 2017: Rs.2.00,100.0%,High consistency (100.0%): 6 years with dividends,Rs.1.74,0.12%,Growth trend
