Symbol,Name,Sector,Shares,Listed In
BATA,Bata Pakistan Limited,LEATHER & TANNERIES,"7,560,000",ALLSHRKMIALLSHR
LEUL,Leather Up Limited,LEATHER & TANNERIES,"6,000,000",ALLSHRKMIALLSHR
PAKL,Pak Leather Crafts Limited,LEATHER & TANNERIES,"3,400,000",ALLSHR
SGF,Service GlobalFootwear Limited,LEATHER & TANNERIES,"206,467,605",ALLSHRKMIALLSHR
SRVI,Service Industries Limited,LEATHER & TANNERIES,"46,987,500",ALLSHRKSE100KSE100PR
