Symbol,Name,Sector,Shares,Listed In
MARI,Mari Energies Limited,OIL & GAS EXPLORATION COMPANIES,"1,200,622,500",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINITPGIOGTI
OGDC,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES,"4,300,928,400",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGINITPGIOGTIPSXDIV20
POL,Pakistan Oilfields Limited,OIL & GAS EXPLORATION COMPANIES,"283,855,104",ALLSHRKSE100KSE100PRKSE30NBPPGINITPGIPSXDIV20
PPL,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES,"2,720,967,548",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGINITPGIOGTI
