Symbol,Name,Sector,Shares,Listed In
CLVL,Cordoba Logistics & Ventures Limited,TRANSPORT,"72,105,200",ALLSHRKMIALLSHR
PIBTL,Pakistan International Bulk Terminal,TRANSPORT,"1,786,092,772",ALLSHRKMIALLSHRKSE100KSE100PR
PICT,Pakistan International Container,TRANSPORT,"109,153,152",ALLSHR
PNSC,Pakistan National Shipping Corporation,TRANSPORT,"198,095,040",ALLSHR
SLGL,Secure Logistics Group Limited,TRANSPORT,"417,576,096",ALLSHRKMIALLSHR
