Symbol,Name,Sector,Shares,Listed In
APL,Attock Petroleum Limited,OIL & GAS MARKETING COMPANIES,"124,416,000",ALLSHRKMIALLSHRKSE100KSE100PR
BPL,Burshane LPG (Pakistan) Limited,OIL & GAS MARKETING COMPANIES,"22,488,900",ALLSHRKMIALLSHR
HTL,Hi-Tech Lubricants Limited,OIL & GAS MARKETING COMPANIES,"139,204,800",ALLSHRKMIALLSHR
OBOY,Oilboy Energy Limited,OIL & GAS MARKETING COMPANIES,"25,000,000",ALLSHRKMIALLSHR
PSO,Pakistan State Oil Company Limited,OIL & GAS MARKETING COMPANIES,"469,473,300",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGI
SNGP,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES,"634,216,665",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRMII30MZNPI
SSGC,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES,"880,916,309",ALLSHRJSMFIKMIALLSHR
WAFI,Wafi Energy Pakistan Limited,OIL & GAS MARKETING COMPANIES,"214,024,662",ALLSHRKMIALLSHR
