Symbol,Name,Sector,Shares,Listed In
BGL,Baluchistan Glass Limited,GLASS & CERAMICS,"638,512,057",ALLSHRKMIALLSHR
FRCL,Frontier Ceramics Limited,GLASS & CERAMICS,"37,873,821",ALLSHRKMIALLSHR
GGGL,Ghani Global Glass Limited,GLASS & CERAMICS,"240,000,000",ALLSHRKMIALLSHR
GHGL,Ghani Glass Limited,GLASS & CERAMICS,"999,714,838",ALLSHRKMIALLSHRKSE100KSE100PR
GVGL,Ghani Value Glass Limited,GLASS & CERAMICS,"149,942,178",ALLSHRKMIALLSHR
KCL,Karam Ceramics Limited,GLASS & CERAMICS,"14,549,060",ALLSHRKMIALLSHR
STCL,Shabbir Tiles & Ceramics Limited,GLASS & CERAMICS,"239,320,475",ALLSHRKMIALLSHR
TGL,Tariq Glass Industries Limited,GLASS & CERAMICS,"172,167,188",ALLSHRKMIALLSHRKSE100KSE100PRMII30
