Symbol,Name,Sector,Shares,Listed In
ATRL,Attock Refinery Limited,REFINERY,"106,616,250",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPI
CNERGY,Cnergyico PK Limited,REFINERY,"5,493,447,571",ALLSHRKMIALLSHRKSE100KSE100PR
NRL,National Refinery Limited,REFINERY,"79,966,560",ALLSHR
PRL,Pakistan Refinery Limited,REFINERY,"630,000,000",ALLSHRKMI30KMIALLSHR
