Symbol,Name,Sector,Shares,Listed In
POML,Punjab Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,"7,762,500",ALLSHRKMIALLSHRKSE100KSE100PR
SSOM,S.S.Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,"5,658,400",ALLSHRKMIALLSHR
